user_id,age,location,device,account_age_days,event_demand,ticket_price,purchase_time_sec,resale_price,resale_flag,scalper,purchase_date
user_306,24,Hyderabad,Mobile,445,Medium,2000,90.3,2000,0,0,7/7/2024
user_178,38,Mumbai,Tablet,624,Medium,1500,17.71,1500,0,0,3/28/2024
user_110,38,Pune,Desktop,109,Low,1500,4.62,1500,0,0,11/4/2024
user_80,19,Pune,Tablet,353,Medium,1500,53.59,1500,0,0,7/10/2024
user_126,38,Hyderabad,Mobile,170,High,500,10.88,500,0,0,8/23/2024
user_307,42,Delhi,Desktop,570,High,1000,22.32,1000,0,0,7/6/2024
user_266,33,Bangalore,Desktop,792,Low,500,18.27,500,0,0,2/20/2024
user_474,29,Pune,Tablet,576,Low,2000,122.65,2000,0,0,11/2/2024
user_475,24,Hyderabad,Desktop,30,Low,1500,17.96,1500,0,0,3/29/2024
user_245,31,Mumbai,Mobile,251,Low,2000,14.6,2000,0,0,12/5/2024
user_331,32,Pune,Tablet,965,High,2000,3.9,2000,0,0,2/4/2024
user_234,31,Hyderabad,Desktop,90,Medium,2000,8.98,2000,0,0,1/2/2024
user_311,23,Mumbai,Desktop,575,High,1500,23.74,1500,0,0,7/9/2024
user_243,35,Pune,Tablet,739,Low,500,17.92,500,0,0,9/26/2024
user_310,33,Pune,Desktop,280,Low,1500,2.78,1500,0,0,7/8/2024
user_473,25,Delhi,Mobile,734,High,1000,14.76,1000,0,0,2/22/2024
user_201,41,Delhi,Mobile,931,Medium,1500,100.79,1500,0,0,2/10/2024
user_411,32,Hyderabad,Mobile,822,High,1000,2.32,1000,1,0,12/9/2024
user_94,18,Mumbai,Tablet,657,Low,1500,0.17,1500,1,0,3/21/2024
user_298,25,Delhi,Mobile,684,Medium,500,46.84,500,0,0,8/18/2024
user_319,43,Mumbai,Mobile,50,Low,2000,73.94,2000,1,0,9/24/2024
user_134,19,Mumbai,Tablet,42,Low,1000,1.97,1000,0,0,8/3/2024
user_255,22,Delhi,Tablet,108,Low,1500,26.84,1500,0,0,2/4/2024
user_466,18,Mumbai,Mobile,748,High,1500,3.82,1500,0,0,9/13/2024
user_342,22,Hyderabad,Mobile,227,Low,1500,8.08,1500,0,0,10/9/2024
user_303,26,Pune,Desktop,216,High,1000,16.73,1000,0,0,6/27/2024
user_264,24,Mumbai,Desktop,250,Low,500,11.32,500,0,0,8/9/2024
user_330,22,Mumbai,Mobile,416,Medium,1000,27.82,1000,0,0,1/29/2024
user_68,21,Delhi,Mobile,534,High,1000,2.4,1000,0,0,3/26/2024
user_371,19,Mumbai,Tablet,691,High,500,49.53,500,0,0,5/13/2024
user_283,29,Hyderabad,Tablet,565,Low,1500,16.16,1500,1,0,5/7/2024
user_206,43,Bangalore,Desktop,357,High,500,13.22,500,1,0,10/9/2024
user_377,42,Delhi,Desktop,637,Low,1000,13.04,1000,0,0,7/16/2024
user_112,25,Pune,Tablet,420,Low,500,16.21,500,0,0,11/2/2024
user_173,27,Mumbai,Tablet,693,Medium,2000,8.4,2000,0,0,6/8/2024
user_87,41,Mumbai,Mobile,242,Medium,1500,15.52,1500,0,0,2/21/2024
user_120,29,Hyderabad,Tablet,519,High,2000,35.75,2000,0,0,4/10/2024
user_385,34,Bangalore,Desktop,961,Medium,1000,1.13,1000,0,0,5/9/2024
user_96,39,Delhi,Tablet,864,High,1500,9.8,1500,1,0,5/5/2024
user_288,19,Pune,Mobile,62,Medium,500,20.17,500,1,0,9/3/2024
user_210,21,Delhi,Desktop,448,Medium,500,43.02,500,0,0,9/11/2024
user_277,23,Bangalore,Desktop,289,Low,1500,19.06,1500,1,0,8/27/2024
user_256,33,Pune,Desktop,618,Low,2000,4.9,2000,0,0,12/14/2024
user_126,20,Mumbai,Desktop,669,Low,1500,11.83,1500,0,0,12/11/2024
user_54,20,Bangalore,Tablet,520,Low,1500,7.7,1500,0,0,11/3/2024
user_319,26,Hyderabad,Desktop,938,Low,1500,15.2,1500,0,0,12/25/2024
user_473,18,Mumbai,Mobile,788,Low,1500,12.51,1500,0,0,5/30/2024
user_51,27,Bangalore,Desktop,620,Medium,500,7.78,500,0,0,4/21/2024
user_304,42,Pune,Mobile,581,High,1000,9.07,1000,1,0,9/10/2024
