user_id,account_age_days,ticket_price,purchase_time_sec,mouse_velocity_mean,mouse_velocity_std,click_frequency,keystroke_flight_time_ms,navigation_entropy,session_duration_sec,pages_visited,scroll_depth_pct,resale_price,resale_flag,scalper,purchase_date
user_462,569,147.82,71.77,266.95,118.73,1.061,172.7,2.739,184.8,9,45.8,162.77,1,0,2025-04-11
user_4244,573,93.39,47.95,414.37,123.42,0.715,218.1,0.275,200.3,8,100,93.39,0,0,2025-05-14
user_2298,783,438.69,57.71,366.65,172.28,1.155,132.6,3.193,205.0,12,57.3,438.69,0,0,2025-03-14
user_4414,615,10.31,42.49,477.66,223.16,1.318,164.6,1.743,120.6,8,43.0,10.31,0,0,2025-05-09
user_2694,1097,100.82,39.84,584.24,214.76,0.749,230.6,3.074,178.1,6,39.1,100.82,0,0,2025-06-18
user_4217,271,176.15,49.75,305.56,145.91,1.259,195.9,2.915,203.5,4,100,176.15,0,0,2025-01-28
user_1971,1485,50.71,5.07,401.03,104.52,0.997,155.5,3.191,160.0,7,74.7,50.71,0,0,2025-01-28
user_114,1451,398.24,30.52,518.56,218.18,0.187,218.1,2.177,193.0,8,74.9,398.24,0,0,2025-03-15
user_2036,663,183.38,71.91,438.7,161.07,0.513,135.5,2.097,275.7,4,49.3,183.38,0,0,2025-01-20
user_2405,1238,94.58,53.26,388.64,125.15,0.561,190.0,2.128,172.7,11,68.2,94.58,0,0,2025-05-09
user_2983,1487,296.25,20.78,289.41,201.7,0.792,186.8,2.565,239.2,6,64.5,296.25,0,0,2025-05-05
user_1633,1027,130.48,13.96,372.97,54.78,0.463,76.5,3.078,227.3,7,50.7,130.48,0,0,2025-01-04
user_146,1113,74.04,67.04,452.43,77.65,1.131,171.0,2.338,87.2,6,67.8,74.04,0,0,2025-04-11
user_3730,140,180.85,66.04,454.98,217.44,1.02,187.4,2.557,79.6,8,66.3,180.85,0,0,2025-06-07
user_1185,550,283.45,45.82,287.16,160.98,0.734,197.4,2.526,229.0,9,71.8,283.45,0,0,2025-04-23
user_1221,771,296.99,4.69,346.51,162.55,1.016,164.3,2.124,119.6,6,62.4,296.99,0,0,2025-03-06
user_4208,1293,113.74,13.53,443.21,258.16,0.93,117.2,2.891,34.4,6,100,113.74,0,0,2025-04-18
user_3295,1271,56.55,37.97,558.47,168.11,0.636,113.8,3.209,173.5,10,37.5,56.55,0,0,2025-02-18
user_3558,154,15.1,72.12,121.1,134.51,0.303,162.2,2.339,305.4,7,66.8,15.1,0,0,2025-01-18
user_2777,1409,106.97,77.01,117.87,149.93,0.826,238.4,3.249,213.1,11,14.3,106.97,0,0,2025-01-06
user_2506,394,33.42,14.55,368.9,225.41,0.805,141.4,2.05,196.2,4,93.2,33.42,0,0,2025-02-24
user_2916,331,69.73,54.49,478.42,164.88,1.246,239.3,2.074,153.3,6,94.0,69.73,0,0,2025-05-15
user_1147,1347,192.52,22.02,356.35,128.81,0.831,143.0,1.772,254.1,14,56.9,192.52,0,0,2025-06-28
user_288,1075,17.28,66.76,438.47,152.46,1.628,141.9,1.959,41.3,4,79.0,17.28,0,0,2025-05-09
user_3853,404,151.22,44.55,305.09,179.27,0.67,248.9,0.732,123.0,6,92.0,151.22,0,0,2025-05-27
user_1570,1450,249.01,66.0,331.44,148.31,0.663,202.1,2.388,142.9,10,60.7,249.01,0,0,2025-06-10
user_809,1081,188.73,59.01,320.29,152.55,1.129,238.3,2.671,225.5,7,51.5,188.73,0,0,2025-01-24
user_3447,409,42.47,11.13,406.09,216.18,0.881,64.4,3.234,87.5,4,63.0,42.47,0,0,2025-02-25
user_4531,1228,30.57,47.5,356.37,112.83,0.595,254.5,3.39,177.7,3,62.2,30.57,0,0,2025-03-27
user_2138,206,119.58,44.72,550.98,125.56,0.873,228.8,4.644,123.3,5,45.9,95.24,1,0,2025-01-03
user_4894,20,60.86,1.85,2016.45,15.26,2.84,10.1,0.01,3.0,1,23.4,123.66,1,1,2025-04-19
