user_id,account_age_days,ticket_price,purchase_time_sec,mouse_velocity_mean,mouse_velocity_std,click_frequency,keystroke_flight_time_ms,navigation_entropy,session_duration_sec,pages_visited,scroll_depth_pct,resale_price,resale_flag,scalper,purchase_date
user_462,569,147.82,71.77,277.5232,119.4751,1.0755,186.603,2.6105,167.3302,9,47.8486,162.77,1,0,2025-04-11
user_4244,573,93.39,47.95,425.6383,124.8535,0.7566,225.2606,0.2765,192.9057,8,94.9267,93.39,0,0,2025-05-14
user_2298,783,438.69,57.71,338.3836,163.9369,1.2595,133.09,3.1464,196.1437,12,61.325,438.69,0,0,2025-03-14
user_4414,615,10.31,42.49,527.3533,227.3621,1.3344,171.0385,1.646,124.0266,8,39.7438,10.31,0,0,2025-05-09
user_2694,1097,100.82,39.84,612.327,212.9992,0.6823,223.6354,2.8492,166.0949,6,36.4006,100.82,0,0,2025-06-18
user_4217,271,176.15,49.75,294.4155,146.7448,1.3105,202.1533,2.966,210.1132,4,102.3925,176.15,0,0,2025-01-28
user_1971,1485,50.71,5.07,388.2944,108.293,1.0069,161.4305,3.4036,155.5191,7,72.9288,50.71,0,0,2025-01-28
user_114,1451,398.24,30.52,508.5008,223.6966,0.1948,233.6543,2.1668,179.2684,8,72.9074,398.24,0,0,2025-03-15
user_2036,663,183.38,71.91,441.2732,155.3384,0.5349,136.6816,2.089,285.1311,4,54.0194,183.38,0,0,2025-01-20
user_2405,1238,94.58,53.26,374.6911,121.6346,0.5377,199.0466,2.0677,172.0933,11,70.7551,94.58,0,0,2025-05-09
user_2983,1487,296.25,20.78,287.8761,215.0249,0.824,181.1525,2.6502,279.8857,6,63.0945,296.25,0,0,2025-05-05
user_1633,1027,130.48,13.96,372.4829,57.7511,0.4837,77.5469,2.9224,237.567,7,51.666,130.48,0,0,2025-01-04
user_146,1113,74.04,67.04,393.216,75.7699,1.1365,170.0029,2.3056,80.714,6,65.2009,74.04,0,0,2025-04-11
user_3730,140,180.85,66.04,450.8539,226.3156,1.0551,165.1381,2.6479,81.8123,8,64.477,180.85,0,0,2025-06-07
user_1185,550,283.45,45.82,300.9006,176.9959,0.7552,191.3607,2.4148,216.9763,9,75.2897,283.45,0,0,2025-04-23
user_1221,771,296.99,4.69,370.5817,164.3376,0.9546,171.5719,2.1243,133.2549,6,63.2762,296.99,0,0,2025-03-06
user_4208,1293,113.74,13.53,452.536,248.5193,1.0191,121.4789,2.9488,34.1618,6,98.1136,113.74,0,0,2025-04-18
user_3295,1271,56.55,37.97,559.3997,168.5477,0.6194,106.6979,3.2404,171.837,10,41.288,56.55,0,0,2025-02-18
user_3558,154,15.1,72.12,122.8921,142.6431,0.3017,156.8078,2.1946,351.5485,7,64.6899,15.1,0,0,2025-01-18
user_2777,1409,106.97,77.01,112.7534,153.8056,0.8463,230.0526,3.4331,214.0365,11,14.8004,106.97,0,0,2025-01-06
user_2506,394,33.42,14.55,359.8625,219.4472,0.8711,133.5556,2.1182,199.3149,4,91.6229,33.42,0,0,2025-02-24
user_2916,331,69.73,54.49,463.9155,174.7376,1.214,218.6416,2.1051,155.0609,6,91.1424,69.73,0,0,2025-05-15
user_1147,1347,192.52,22.02,339.3751,131.648,0.7653,145.377,1.6538,221.6766,14,59.2531,192.52,0,0,2025-06-28
user_288,1075,17.28,66.76,451.3711,156.1807,1.581,144.7405,2.0584,39.8283,4,80.5045,17.28,0,0,2025-05-09
user_3853,404,151.22,44.55,319.7146,174.7728,0.6973,236.862,0.8643,130.3138,6,98.2392,151.22,0,0,2025-05-27
user_1570,1450,249.01,66.0,293.9871,150.9092,0.6467,195.1206,2.3955,140.881,10,61.3146,249.01,0,0,2025-06-10
user_809,1081,188.73,59.01,332.8088,151.998,1.1422,225.4717,2.3741,238.6709,7,54.7789,188.73,0,0,2025-01-24
user_3447,409,42.47,11.13,405.3462,221.2871,0.9115,68.555,3.1924,80.4902,4,61.6297,42.47,0,0,2025-02-25
user_4531,1228,30.57,47.5,338.1824,109.4646,0.6055,248.5499,3.4572,176.8142,3,63.8408,30.57,0,0,2025-03-27
user_2138,206,119.58,44.72,585.0512,125.8545,0.895,235.4373,4.533,116.1983,5,44.115,95.24,1,0,2025-01-03
user_4894,20,60.86,1.85,1910.3733,14.7942,2.928,9.9638,0.0099,2.8917,1,22.0149,123.66,1,1,2025-04-19
user_3299,253,265.64,34.17,355.201,71.9202,0.6663,124.3908,3.8906,339.5721,7,59.7033,265.64,0,0,2025-06-18
user_3055,727,141.7,55.33,456.5149,76.8376,1.4367,325.8179,2.9255,95.3427,7,93.7224,141.7,0,0,2025-01-22
user_3110,580,19.55,75.53,266.185,89.4941,1.0196,215.6306,1.6415,86.8741,4,76.1521,19.55,0,0,2025-03-07
user_3739,1087,409.47,45.78,227.6916,152.2737,0.3857,234.0361,2.5868,52.8986,7,42.639,409.47,0,0,2025-02-11
user_981,959,61.23,28.9,336.7433,68.8208,1.3785,72.6746,2.8108,80.8983,10,58.1277,61.23,0,0,2025-06-14
user_4809,419,31.82,14.59,357.9082,121.6233,2.5508,95.8246,1.2532,60.3746,4,22.3235,44.66,1,1,2025-04-22
user_1883,936,207.14,54.35,44.4776,233.8801,1.2723,176.3703,2.4514,248.9692,7,87.0417,207.14,0,1,2025-05-11
user_3632,771,52.25,84.34,488.2268,122.1105,0.6785,194.6346,3.4997,122.5289,6,77.7241,48.44,1,0,2025-01-24
user_4204,518,207.06,34.56,406.7179,147.7192,0.8397,95.5273,3.5054,283.732,8,109.5158,207.06,0,0,2025-02-16
user_3177,253,254.24,38.87,390.5053,212.976,0.7421,212.7715,2.6061,313.2198,5,58.7334,254.24,0,0,2025-02-23
user_2927,932,128.62,63.5,136.7515,215.2325,0.7939,127.0028,1.6849,223.2461,6,79.4155,128.62,0,0,2025-01-04
user_4823,420,49.06,8.33,564.9957,68.8687,1.9521,81.7156,1.7297,28.9099,3,16.2496,102.69,1,1,2025-06-12
user_4970,21,86.51,2.93,714.7588,24.9291,6.2652,23.5264,0.4948,4.777,1,3.9707,228.89,1,1,2025-06-25
user_2872,1292,15.89,79.98,191.6673,192.9255,0.9627,169.3261,1.698,273.7746,8,46.577,15.89,0,0,2025-04-09
user_679,756,414.06,13.05,431.675,88.1329,0.9216,147.6555,2.4215,63.2523,4,49.3955,414.06,0,0,2025-04-22
user_4252,1144,97.37,30.17,537.8304,190.9927,0.6969,207.5588,4.1904,300.7818,5,73.2922,97.37,0,1,2025-05-01
user_1577,398,61.64,55.0,112.3446,94.1378,0.2876,301.7718,2.8851,242.8854,8,64.6442,61.64,0,0,2025-04-15
user_1636,263,63.75,28.23,434.1908,73.279,0.361,127.7802,1.6715,119.2097,9,45.2221,63.75,0,0,2025-04-24
user_220,1203,149.57,40.73,369.3868,153.2735,0.259,93.0085,3.1398,161.8332,7,71.7262,149.57,0,0,2025-06-29
user_4579,664,57.37,17.31,416.6453,61.7892,2.0989,131.0318,1.1263,90.1306,3,28.7229,57.37,0,1,2025-05-13
user_1881,645,189.52,56.83,463.0307,140.5201,1.4547,157.5357,3.406,211.4362,5,86.4026,189.52,0,0,2025-04-02
user_860,905,111.48,44.05,443.3136,170.7679,1.1584,145.8589,3.2774,185.2572,3,28.6361,111.48,0,0,2025-04-16
user_3767,595,238.32,60.92,330.2398,155.8812,1.2575,241.9256,2.3076,352.2546,7,77.3463,238.32,0,0,2025-01-31
user_1433,379,231.07,62.97,193.914,194.3661,0.7345,262.9532,1.7482,152.0354,6,28.6596,231.07,0,0,2025-01-24
user_489,334,13.66,43.2,259.8599,139.833,0.6088,196.0473,3.0984,114.2853,6,85.3293,13.66,0,0,2025-02-18
user_1266,1196,302.61,50.82,453.5755,152.8524,1.4118,126.3094,2.1962,175.9805,6,47.7092,302.61,0,0,2025-05-05
user_2686,1283,103.57,60.85,363.1418,189.8964,1.0374,153.8834,3.1146,256.0622,8,81.7045,103.57,0,0,2025-04-21
user_339,937,480.5,70.08,10.234,100.1703,0.9477,119.3362,1.5685,56.1051,6,63.1755,480.5,0,0,2025-06-03
user_3520,246,91.25,60.07,391.0328,120.7525,0.9438,250.2454,2.1106,150.5689,4,81.3817,91.25,0,0,2025-05-05
user_1205,767,355.68,49.64,343.7204,176.7743,0.8979,179.6852,2.5365,197.7819,5,63.7374,355.68,0,0,2025-02-12
user_674,1178,27.06,51.1,311.3248,179.5455,0.7304,191.6367,1.8287,235.2928,4,39.3909,27.06,0,0,2025-06-29
